["LRY-REL-014285","CLAUSE_SEQUENCE","S08-LRY-PAIR-072-C003","S08-LRY-PAIR-072-C004","FORWARD",["SEQUENCE"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014938","NODE_TO_CLAUSE","S08-LRY-PAIR-506","S08-LRY-PAIR-506-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014939","NODE_TO_CLAUSE","S08-LRY-PAIR-506","S08-LRY-PAIR-506-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014940","CLAUSE_SEQUENCE","S08-LRY-PAIR-262-C007","S08-LRY-PAIR-506-C001","FORWARD",["SEQUENCE"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014941","QUANTITY_SCOPE","S08-LRY-PAIR-506","S08-LRY-PAIR-506-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014942","CLAUSE_SEQUENCE","S08-LRY-PAIR-506-C001","S08-LRY-PAIR-506-C002","FORWARD",["SEQUENCE"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014943","QUANTITY_SCOPE","S08-LRY-PAIR-506","S08-LRY-PAIR-506-C002","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014944","CLAUSE_SEQUENCE","S08-LRY-PAIR-506-C002","S08-LRY-PAIR-506-C003","FORWARD",["SEQUENCE"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014945","QUANTITY_SCOPE","S08-LRY-PAIR-506","S08-LRY-PAIR-506-C003","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014946","CLAUSE_SEQUENCE","S08-LRY-PAIR-506-C003","S08-LRY-PAIR-506-C004","FORWARD",["SEQUENCE"],"LRY-PC-0733","ACTIVE"]
["LRY-REL-014947","NODE_TO_CLAUSE","S08-LRY-PAIR-263","S08-LRY-PAIR-263-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0734","ACTIVE"]
["LRY-REL-014948","NODE_TO_CLAUSE","S08-LRY-PAIR-263","S08-LRY-PAIR-263-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0734","ACTIVE"]
["LRY-REL-014949","CLAUSE_SEQUENCE","S08-LRY-PAIR-506-C004","S08-LRY-PAIR-263-C001","FORWARD",["SEQUENCE"],"LRY-PC-0734","ACTIVE"]
["LRY-REL-014950","QUANTITY_SCOPE","S08-LRY-PAIR-263","S08-LRY-PAIR-263-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0734","ACTIVE"]
["LRY-REL-014951","CLAUSE_SEQUENCE","S08-LRY-PAIR-263-C001","S08-LRY-PAIR-263-C002","FORWARD",["SEQUENCE"],"LRY-PC-0734","ACTIVE"]
["LRY-REL-014952","NODE_TO_CLAUSE","S08-LRY-PAIR-507","S08-LRY-PAIR-507-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0735","ACTIVE"]
["LRY-REL-014953","NODE_TO_CLAUSE","S08-LRY-PAIR-507","S08-LRY-PAIR-507-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0735","ACTIVE"]
["LRY-REL-014954","CLAUSE_SEQUENCE","S08-LRY-PAIR-263-C002","S08-LRY-PAIR-507-C001","FORWARD",["SEQUENCE"],"LRY-PC-0735","ACTIVE"]
["LRY-REL-014955","QUANTITY_SCOPE","S08-LRY-PAIR-507","S08-LRY-PAIR-507-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0735","ACTIVE"]
["LRY-REL-014956","CLAUSE_SEQUENCE","S08-LRY-PAIR-507-C001","S08-LRY-PAIR-507-C002","FORWARD",["SEQUENCE"],"LRY-PC-0735","ACTIVE"]
["LRY-REL-014957","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014958","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014959","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014960","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014961","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C005","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014962","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C006","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014963","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C007","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014964","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C008","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014965","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C009","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014966","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C010","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014967","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C011","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014968","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C012","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014969","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C013","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014970","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C014","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014971","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C015","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014972","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C016","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014973","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C017","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014974","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C018","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014975","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C019","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014976","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C020","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014977","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C021","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014978","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C022","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014979","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C023","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014980","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C024","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014981","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C025","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014982","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C026","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014983","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C027","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014984","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C028","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014985","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C029","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014986","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C030","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014987","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C031","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014988","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C032","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014989","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C033","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014990","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C034","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014991","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C035","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014992","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C036","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014993","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C037","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014994","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C038","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014995","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C039","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014996","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C040","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014997","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C041","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014998","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C042","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-014999","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C043","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015000","NODE_TO_CLAUSE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C044","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015001","CLAUSE_SEQUENCE","S08-LRY-PAIR-507-C002","S08-LRY-PAIR-264-C001","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015002","CAUSAL_TARGET","S08-LRY-PAIR-264-C001","S08-LRY-PAIR-264-C002","FORWARD",["CAUSAL"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015003","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015004","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C001","S08-LRY-PAIR-264-C002","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015005","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C002","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015006","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C002","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015007","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C002","S08-LRY-PAIR-264-C003","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015008","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C003","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015009","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C003","S08-LRY-PAIR-264-C004","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015010","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C004","S08-LRY-PAIR-264-C005","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015011","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C005","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015012","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C005","S08-LRY-PAIR-264-C006","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015013","CAUSAL_TARGET","S08-LRY-PAIR-264-C006","S08-LRY-PAIR-264-C007","FORWARD",["CAUSAL"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015014","ALTERNATIVE_TARGET","S08-LRY-PAIR-264-C006","S08-LRY-PAIR-264-C005","BACK_REFERENCE",["ALTERNATIVE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015015","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C006","S08-LRY-PAIR-264-C007","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015016","ALTERNATIVE_TARGET","S08-LRY-PAIR-264-C007","S08-LRY-PAIR-264-C006","BACK_REFERENCE",["ALTERNATIVE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015017","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C007","S08-LRY-PAIR-264-C008","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015018","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C008","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015019","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C008","S08-LRY-PAIR-264-C009","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015020","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C009","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015021","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C009","S08-LRY-PAIR-264-C010","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015022","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C010","S08-LRY-PAIR-264-C011","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015023","NECESSARY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C011","PARENT_TO_CHILD",["NECESSARY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015024","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C011","S08-LRY-PAIR-264-C012","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015025","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C012","S08-LRY-PAIR-264-C013","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015026","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C013","S08-LRY-PAIR-264-C014","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015027","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C014","S08-LRY-PAIR-264-C015","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015028","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C015","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015029","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C015","S08-LRY-PAIR-264-C016","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015030","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C016","S08-LRY-PAIR-264-C017","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015031","LIMITATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C017","PARENT_TO_CHILD",["LIMITATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015032","NECESSARY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C017","PARENT_TO_CHILD",["NECESSARY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015033","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C017","S08-LRY-PAIR-264-C018","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015034","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C018","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015035","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C018","S08-LRY-PAIR-264-C019","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015036","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C019","S08-LRY-PAIR-264-C020","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015037","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C020","S08-LRY-PAIR-264-C021","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015038","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C021","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015039","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C021","S08-LRY-PAIR-264-C022","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015040","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C022","S08-LRY-PAIR-264-C023","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015041","COMPARISON_TARGET","S08-LRY-PAIR-264-C023","S08-LRY-PAIR-264-C022","BACK_REFERENCE",["COMPARISON"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015042","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C023","S08-LRY-PAIR-264-C024","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015043","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C024","S08-LRY-PAIR-264-C025","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015044","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C025","S08-LRY-PAIR-264-C026","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015045","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C026","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015046","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C026","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015047","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C026","S08-LRY-PAIR-264-C027","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015048","ALTERNATIVE_TARGET","S08-LRY-PAIR-264-C027","S08-LRY-PAIR-264-C026","BACK_REFERENCE",["ALTERNATIVE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015049","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C027","S08-LRY-PAIR-264-C028","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015050","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C028","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015051","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C028","S08-LRY-PAIR-264-C029","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015052","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C029","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015053","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C029","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015054","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C029","S08-LRY-PAIR-264-C030","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015055","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C030","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015056","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C030","S08-LRY-PAIR-264-C031","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015057","ALTERNATIVE_TARGET","S08-LRY-PAIR-264-C031","S08-LRY-PAIR-264-C030","BACK_REFERENCE",["ALTERNATIVE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015058","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C031","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015059","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C031","S08-LRY-PAIR-264-C032","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015060","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C032","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015061","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C032","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015062","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C032","S08-LRY-PAIR-264-C033","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015063","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C033","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015064","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C033","S08-LRY-PAIR-264-C034","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015065","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C034","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015066","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C034","S08-LRY-PAIR-264-C035","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015067","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C035","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015068","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C035","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015069","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C035","S08-LRY-PAIR-264-C036","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015070","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C036","S08-LRY-PAIR-264-C037","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015071","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C037","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015072","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C037","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015073","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C037","S08-LRY-PAIR-264-C038","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015074","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C038","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015075","CLAUSE_SEQUENCE","S08-LRY-PAIR-264-C038","S08-LRY-PAIR-264-C039","FORWARD",["SEQUENCE"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015076","NEGATION_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C039","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0736","ACTIVE"]
["LRY-REL-015077","QUANTITY_SCOPE","S08-LRY-PAIR-264","S08-LRY-PAIR-264-C039","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0736","ACTIVE"]
