S09-J015-R0180-JI-S01	S09-J015-R0180-JI	1	配偶的身体不好	SPOUSE	ROMANTIC_RELATION+HEALTH_STATE	MARRIAGE_RELATION	HEALTH_BODY+PARENT_DOCUMENT	MARRIAGE_RELATION_CHAIN+HEALTH_RISK_CHAIN+PARENT_DOCUMENT_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+HEALTH_ENDPOINT_LIMIT+FORMAL_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_FORMALIZATION_ENDPOINT	ACTIVE
S09-J018-R0205-QUAN-S02	S09-J018-R0205-QUAN	2	好动	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	SELF_BEHAVIOR	NONE	SELF_STATE_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0205-QUAN-S03	S09-J018-R0205-QUAN	3	常受伤	CONTEXT_SUBJECT	HEALTH_RISK	HEALTH_BODY	SELF_BEHAVIOR	HEALTH_RISK_CHAIN+SELF_STATE_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0205-KE-S01	S09-J018-R0205-KE	1	兄弟健康	SIBLING	HEALTH_STATE	SIBLING_RESOURCE	HEALTH_BODY+SELF_BEHAVIOR	RESOURCE_RELATION_CHAIN+HEALTH_RISK_CHAIN+SELF_STATE_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+AUX_RESOURCE_LIMIT+HEALTH_ENDPOINT_LIMIT+PERSONALITY_ONLY_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_AUX_PALACE_OVERRIDE+ZERO_HEALTH_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0205-KE-S02	S09-J018-R0205-KE	2	有灾则有贵人之助	CONTEXT_SUBJECT	RELATION_SUPPORT	FRIEND_GROUP	SELF_BEHAVIOR	FRIEND_PARTNERSHIP_CHAIN+SELF_STATE_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+GROUP_RISK_LIMIT+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_GROUP_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0205-JI-S01	S09-J018-R0205-JI	1	有先天性的病症	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	SELF_BEHAVIOR	HEALTH_RISK_CHAIN+SELF_STATE_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0205-JI-S02	S09-J018-R0205-JI	2	母亲体弱多病	PARENT	HEALTH_STATE	PARENT_DOCUMENT	HEALTH_BODY+SELF_BEHAVIOR	PARENT_DOCUMENT_CHAIN+HEALTH_RISK_CHAIN+SELF_STATE_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FORMAL_ENDPOINT_LIMIT+HEALTH_ENDPOINT_LIMIT+PERSONALITY_ONLY_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FORMALIZATION_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0205-JI-S03	S09-J018-R0205-JI	3	不长寿	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	HEALTH_BODY	SELF_BEHAVIOR	HEALTH_RISK_CHAIN+SELF_STATE_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0206-LU-S01	S09-J018-R0206-LU	1	有贵人之助而无灾厄	CONTEXT_SUBJECT	RELATION_SUPPORT+HEALTH_RISK	FRIEND_GROUP	HEALTH_BODY+SIBLING_RESOURCE	FRIEND_PARTNERSHIP_CHAIN+HEALTH_RISK_CHAIN+RESOURCE_RELATION_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+GROUP_RISK_LIMIT+HEALTH_ENDPOINT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_GROUP_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J018-R0206-QUAN-S01	S09-J018-R0206-QUAN	1	易有意外之身体伤害	CONTEXT_SUBJECT	HEALTH_STATE+HEALTH_RISK	HEALTH_BODY	SIBLING_RESOURCE	HEALTH_RISK_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J018-R0206-KE-S01	S09-J018-R0206-KE	1	遇有灾厄	CONTEXT_SUBJECT	HEALTH_RISK	HEALTH_BODY	SIBLING_RESOURCE	HEALTH_RISK_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J018-R0206-KE-S02	S09-J018-R0206-KE	2	即有贵人之助救	CONTEXT_SUBJECT	RELATION_SUPPORT	FRIEND_GROUP	SIBLING_RESOURCE	FRIEND_PARTNERSHIP_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+GROUP_RISK_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_GROUP_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J018-R0206-JI-S01	S09-J018-R0206-JI	1	身体上易有意料之外的劫数	CONTEXT_SUBJECT	HEALTH_STATE+HEALTH_RISK	HEALTH_BODY	SIBLING_RESOURCE	HEALTH_RISK_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J018-R0207-LU-S01	S09-J018-R0207-LU	1	出外多贵人而无灾	CONTEXT_SUBJECT	RELATION_SUPPORT+MIGRATION_ACTION	MIGRATION_OUTSIDE	FRIEND_GROUP+MARRIAGE_RELATION	MIGRATION_OUTSIDE_CHAIN+FRIEND_PARTNERSHIP_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	PRESENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+MIGRATION_ENDPOINT_LIMIT+GROUP_RISK_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_MIGRATION_ENDPOINT+ZERO_GROUP_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0207-LU-S02	S09-J018-R0207-LU	2	长寿健康	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	MARRIAGE_RELATION	HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0207-QUAN-S01	S09-J018-R0207-QUAN	1	出外易与人争执而受伤	CONTEXT_SUBJECT	RELATION_CONFLICT+HEALTH_RISK+MIGRATION_ACTION	MIGRATION_OUTSIDE	HEALTH_BODY+MARRIAGE_RELATION	MIGRATION_OUTSIDE_CHAIN+HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+MIGRATION_ENDPOINT_LIMIT+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_MIGRATION_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0207-KE-S01	S09-J018-R0207-KE	1	出外逢灾有救星	CONTEXT_SUBJECT	MIGRATION_ACTION	MIGRATION_OUTSIDE	MARRIAGE_RELATION	MIGRATION_OUTSIDE_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+MIGRATION_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_MIGRATION_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0207-KE-S02	S09-J018-R0207-KE	2	朋友都会关照	FRIEND_TEAM	GROUP_ACTION	FRIEND_GROUP	MARRIAGE_RELATION	FRIEND_PARTNERSHIP_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+GROUP_RISK_LIMIT+RELATION_STATUS_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_GROUP_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0207-JI-S01	S09-J018-R0207-JI	1	运不好	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MARRIAGE_RELATION	NONE	MARRIAGE_RELATION_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0207-JI-S02	S09-J018-R0207-JI	2	身体多灾厄	CONTEXT_SUBJECT	HEALTH_STATE+HEALTH_RISK	HEALTH_BODY	MARRIAGE_RELATION	HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0207-JI-S03	S09-J018-R0207-JI	3	有病拖延难愈	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	MARRIAGE_RELATION	HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J018-R0208-LU-S01	S09-J018-R0208-LU	1	身体先天有健康的遗传	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	CHILD_OUTPUT	HEALTH_RISK_CHAIN+CHILD_OUTPUT_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0208-QUAN-S01	S09-J018-R0208-QUAN	1	身体强壮	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	CHILD_OUTPUT	HEALTH_RISK_CHAIN+CHILD_OUTPUT_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0208-QUAN-S02	S09-J018-R0208-QUAN	2	但易因工作而受伤	CONTEXT_SUBJECT	CAREER_ACTION+HEALTH_RISK	CAREER_WORK	HEALTH_BODY+CHILD_OUTPUT	CAREER_CHAIN+HEALTH_RISK_CHAIN+CHILD_OUTPUT_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CAREER_ENDPOINT_LIMIT+HEALTH_ENDPOINT_LIMIT+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PROMOTION_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0208-KE-S01	S09-J018-R0208-KE	1	做事小心	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	CHILD_OUTPUT	NONE	CHILD_OUTPUT_CHAIN	NONE	AVOIDANCE	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0208-KE-S02	S09-J018-R0208-KE	2	出外多贵人搭救	CONTEXT_SUBJECT	RELATION_SUPPORT+MIGRATION_ACTION	MIGRATION_OUTSIDE	FRIEND_GROUP+CHILD_OUTPUT	MIGRATION_OUTSIDE_CHAIN+FRIEND_PARTNERSHIP_CHAIN+CHILD_OUTPUT_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+MIGRATION_ENDPOINT_LIMIT+GROUP_RISK_LIMIT+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_MIGRATION_ENDPOINT+ZERO_GROUP_ENDPOINT+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0208-KE-S03	S09-J018-R0208-KE	3	有病早愈	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	CHILD_OUTPUT	HEALTH_RISK_CHAIN+CHILD_OUTPUT_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0208-JI-S01	S09-J018-R0208-JI	1	限运逢之无吉象解	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	CHILD_OUTPUT	NONE	CHILD_OUTPUT_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0208-JI-S02	S09-J018-R0208-JI	2	恐有难愈的灾厄	CONTEXT_SUBJECT	HEALTH_RISK	HEALTH_BODY	CHILD_OUTPUT	HEALTH_RISK_CHAIN+CHILD_OUTPUT_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+CHILD_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_CHILD_ENDPOINT	ACTIVE
S09-J018-R0209-LU-S01	S09-J018-R0209-LU	1	遗传性肥胖	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	NONE	FINANCE_FIVE_AXIS_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-LU-S02	S09-J018-R0209-LU	2	福相	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	NONE	FINANCE_FIVE_AXIS_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-LU-S03	S09-J018-R0209-LU	3	乐观	CONTEXT_SUBJECT	PLEASURE_STATE	PLEASURE_MIND	MONEY_FINANCE	MENTAL_PLEASURE_STATE_CHAIN+FINANCE_FIVE_AXIS_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+PLEASURE_ONLY_LIMIT+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_RESULTIZATION+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-QUAN-S01	S09-J018-R0209-QUAN	1	强壮	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	NONE	FINANCE_FIVE_AXIS_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-QUAN-S02	S09-J018-R0209-QUAN	2	脾气暴躁	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	NONE	FINANCE_FIVE_AXIS_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-QUAN-S03	S09-J018-R0209-QUAN	3	易惹事	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	NONE	FINANCE_FIVE_AXIS_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-KE-S01	S09-J018-R0209-KE	1	身体胖瘦适中	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	MONEY_FINANCE	HEALTH_RISK_CHAIN+FINANCE_FIVE_AXIS_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-KE-S02	S09-J018-R0209-KE	2	不喜惹是生非	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	NONE	FINANCE_FIVE_AXIS_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT	ACTIVE
S09-J018-R0209-JI-S01	S09-J018-R0209-JI	1	出外身体上易有意外的事故或身体上的灾难	CONTEXT_SUBJECT	HEALTH_STATE+HEALTH_RISK+MIGRATION_ACTION	MIGRATION_OUTSIDE	HEALTH_BODY+MONEY_FINANCE	MIGRATION_OUTSIDE_CHAIN+HEALTH_RISK_CHAIN+FINANCE_FIVE_AXIS_CHAIN	事故	PRESENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+MIGRATION_ENDPOINT_LIMIT+HEALTH_ENDPOINT_LIMIT+FINANCE_RESULT_LIMIT+HIGH_THRESHOLD_REQUIRES_S17	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_MIGRATION_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_FINANCE_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J018-R0210-LU-S01	S09-J018-R0210-LU	1	兄弟肥胖	SIBLING	SEMANTIC_ACTION_REQUIRES_S17	SIBLING_RESOURCE	HEALTH_BODY	RESOURCE_RELATION_CHAIN+HEALTH_RISK_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+AUX_RESOURCE_LIMIT+HEALTH_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_AUX_PALACE_OVERRIDE+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J018-R0210-LU-S02	S09-J018-R0210-LU	2	本人也肥胖	SELF	SEMANTIC_ACTION_REQUIRES_S17	SELF_BEHAVIOR	HEALTH_BODY	SELF_STATE_CHAIN+HEALTH_RISK_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+PERSONALITY_ONLY_LIMIT+HEALTH_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_RESULTIZATION+ZERO_HEALTH_ENDPOINT	ACTIVE
S09-J018-R0210-LU-S03	S09-J018-R0210-LU	3	福相	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	HEALTH_BODY	NONE	HEALTH_RISK_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT	ACTIVE
